"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"56.99","989.97","315.01","315.88","32.87","63.48","42.14","94.98","720","48.12","83.60","83","58.15"
"56.84","989.97","315.01","313.68","32.96","63.32","42.04","94.98","722","48.12","83.60","83","58.25"
"56.76","989.97","315.01","311.48","32.95","63.32","41.99","94.98","719","48.12","83.60","83","58.15"
"56.84","989.97","315.01","318.06","32.82","62.94","42.07","94.98","721","48.21","83.70","83","58.15"
"56.84","989.97","315.01","318.06","32.91","63.25","42.09","94.98","717","48.31","83.70","83","58.15"
"56.76","989.97","315.01","315.88","32.82","63.32","41.92","94.98","720","48.31","83.70","83","58.15"
"56.53","989.97","315.01","311.48","32.96","63.48","41.86","94.98","719","48.31","83.70","83","58.25"
"57.3","989.97","315.01","313.68","32.91","63.17","42.06","94.98","718","48.41","83.70","83","58.15"
"56.99","989.97","315.01","315.88","32.82","63.17","42.02","94.98","721","48.41","83.80","83","58.15"
"57.07","989.97","315.01","311.48","32.82","63.32","42.12","94.98","722","48.41","83.80","83","58.15"
"56.46","989.97","315.01","313.68","33.00","62.94","41.91","94.98","721","48.56","83.90","83","58.25"
"57.3","989.97","315.01","315.88","32.91","63.32","42.07","94.98","719","48.56","83.90","84","58.15"
"57.07","989.97","315.01","318.06","32.82","63.17","42.01","94.98","719","48.66","84","84","58.15"
"57.3","989.97","315.01","313.68","32.95","63.17","42.15","94.98","720","48.66","84","84","58.15"
"56.76","989.97","315.01","315.88","32.77","63.17","42.25","94.98","720","48.75","84","84","58.15"
"57.37","989.97","315.01","315.88","32.86","63.17","42.01","94.98","720","48.75","84","84","58.15"
"56.84","989.97","315.01","315.88","32.91","63.17","41.98","94.98","721","48.75","84","84","58.15"
"57.14","989.97","315.01","311.48","32.91","63.17","42.03","94.98","723","48.85","84","84","58.25"
"57.07","989.97","315.01","315.88","32.86","63.25","42.19","94.98","720","48.85","84.10","84","58.15"
"57.07","989.97","315.01","318.06","32.86","63.48","42.31","94.98","717","48.95","84.20","84","58.15"
"56.53","989.97","315.01","313.68","32.77","63.10","42.04","94.98","720","48.95","84.20","84","58.15"
"57.53","989.97","315.01","313.68","32.86","63.17","42.06","94.98","721","49.05","84.20","84","58.15"
"56.69","989.97","315.01","313.68","32.86","63.10","42.05","94.98","718","49.05","84.30","84","58.25"
"56.69","989.97","315.01","311.48","32.86","63.25","42.18","94.98","720","49.15","84.40","84","58.15"
"56.69","989.97","315.01","311.48","32.92","63.25","41.99","94.98","717","49.15","84.40","84","58.25"
"57.14","989.97","315.01","313.68","32.87","63.25","42.11","94.98","719","49.15","84.40","84","58.25"
"56.53","989.97","315.01","313.68","32.86","63.17","42.05","94.98","721","49.15","84.40","84","58.15"
"56.84","989.97","315.01","315.88","32.77","62.94","42.07","94.98","718","49.24","84.40","84","58.25"
"56.23","989.97","315.01","315.88","32.82","63.17","42.01","94.98","720","49.24","84.40","84","58.15"
"56.84","989.97","315.01","311.48","32.92","63.17","42.34","94.98","721","49.34","84.50","84","58.25"
"56.84","989.97","315.01","313.68","32.87","63.10","41.96","94.98","720","49.34","84.50","84","58.25"
"56.76","989.97","315.01","313.68","32.92","63.17","42.06","94.98","717","49.34","84.50","84","58.25"
"56.69","989.97","315.01","315.88","32.77","63.10","42.16","94.98","722","49.54","84.60","84","58.25"
"56.46","989.97","315.01","313.68","32.82","63.10","42.23","94.98","720","49.44","84.60","84","58.25"
"57.14","989.97","315.01","313.68","32.91","63.17","42.12","94.98","718","49.54","84.70","84","58.25"
"56.84","989.97","315.01","315.88","32.77","63.10","42.39","94.98","720","49.54","84.70","84","58.25"
"56.76","989.97","315.01","313.68","32.87","62.87","42.06","94.98","721","49.64","84.70","84","58.25"
"56.99","989.97","315.01","318.06","32.86","63.10","42.29","94.98","719","49.64","84.70","84","58.25"
"56.46","989.97","315.01","313.68","32.77","63.17","42.24","94.98","720","49.64","84.70","84","58.25"
"56.53","989.97","315.01","313.68","32.92","63.10","42.23","94.98","718","49.73","84.70","84","58.25"
"56.99","989.97","315.01","313.68","32.91","63.17","42.12","94.98","722","49.73","84.80","84","58.25"
"56.99","989.97","315.01","318.06","32.82","63.25","42.07","94.98","722","49.73","84.80","84","58.25"
"56.99","989.97","315.01","311.48","32.79","63.25","42.30","94.98","719","49.83","84.80","84","58.25"
"56.76","989.97","315.01","315.88","32.77","63.10","42.19","94.98","720","49.83","84.80","85","58.25"
"56.53","989.97","315.01","318.06","32.86","62.87","42.21","94.98","720","49.93","84.90","85","58.25"
"56.99","989.97","315.01","315.88","32.92","63.17","42.30","94.98","722","49.93","85","85","58.25"
"56.23","989.97","315.01","315.88","32.91","63.17","42.40","94.98","720","49.93","85","85","58.25"
"57.3","989.97","315.01","313.68","32.87","63.17","42.15","94.98","721","50.03","85","85","58.25"
"56.69","989.97","315.01","318.06","32.79","63.17","42.03","94.98","720","50.03","85","85","58.25"
"56.38","989.97","315.01","318.06","32.87","62.94","42.03","94.98","719","50.13","85","85","58.25"
"55.92","989.97","315.01","315.88","32.96","63.17","42.01","94.98","722","50.13","85","85","58.25"
"57.3","989.97","315.01","315.88","32.87","63.25","42.31","94.98","719","50.13","85.10","85","58.25"
"56.23","989.97","315.01","311.48","32.82","63.17","42.14","94.98","719","50.23","85.20","85","58.25"
"56.69","989.97","315.01","313.68","32.92","62.94","41.95","94.98","721","50.23","85.20","85","58.25"
"56.15","989.97","315.01","315.88","32.79","63.17","42.29","94.98","720","50.32","85.20","85","58.15"
"56.76","989.97","315.01","320.4","32.92","63.10","42.37","94.98","717","50.32","85.20","85","58.25"
"56.69","989.97","315.01","313.68","32.87","63.10","42.15","94.98","720","50.32","85.30","85","58.15"
"57.3","989.97","315.01","313.68","32.82","63.25","42.02","94.98","718","50.32","85.30","85","58.25"
"56.69","989.97","315.01","313.68","32.97","62.94","42.14","94.98","719","50.52","85.30","85","58.15"
"57.14","989.97","315.01","313.68","32.80","63.10","42.15","94.98","717","50.52","85.30","85","58.15"
"56.38","989.97","315.01","318.06","32.82","63.10","42.06","94.98","721","50.62","85.30","85","58.15"
"56.53","989.97","315.01","315.88","32.96","63.10","42.21","94.98","720","50.62","85.30","85","58.15"
