"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"143.43","1353.99","633.05","621.65","41.70","165.33","39.72","94.98","1505","65.92","98.40","98","62.66"
"137.94","1385.94","504.37","474.26","38.73","161.67","40.12","94.98","1494","65.72","98.30","98","62.86"
"140.69","1357.93","504.69","489.69","39.22","160.14","38.42","94.98","1550","65.62","98.30","98","62.86"
"152.28","1415.97","668.48","674.4","42.63","189.06","38.83","94.98","1984","65.62","98.30","98","62.86"
"221.79","1522.91","764.06","782.16","44.79","271.99","38.24","94.98","2173","65.62","98.30","98","62.86"
"247.27","1643.94","843.85","845.96","46.36","305.87","38.49","94.98","2254","65.72","98.30","98","62.95"
"268.02","1710.96","899.67","918.56","47.20","334.48","38.69","94.98","2377","65.92","98.30","98","62.95"
"273.9","1665.92","360.97","344.57","34.90","305.26","42.56","49.37","2372","65.92","98.40","98","62.95"
"227.59","1359.94","358.49","353.35","35.42","252.15","42.26","51.91","2230","65.72","98.40","98","62.95"
"188.98","1246.97","351.32","353.35","35.49","213.55","42.10","74.86","2098","65.62","98.50","98","62.86"
"171.59","1188.92","347.60","342.28","35.54","190.66","41.94","94.98","1942","65.62","98.50","98","62.66"
"156.79","1167.95","349.57","355.46","35.56","177.23","42.23","94.98","1848","65.43","98.50","98","62.51"
"146.94","1146.99","349.89","353.35","35.60","168.23","42.41","94.98","1774","65.33","98.50","98","62.51"
"143.13","1141.95","380.00","377.48","36.42","165.87","40.83","94.98","1756","65.33","98.40","98","62.51"
"144.35","1182.97","373.70","377.48","36.13","166.93","41.12","94.92","1734","65.23","98.30","98","62.41"
"142.37","1188.92","339.41","340.17","35.23","159.46","41.53","94.98","1586","65.23","98.20","98","62.51"
"102.77","1169.97","309.87","300.59","34.65","107.73","42.02","94.84","1189","64.94","98.10","97","62.51"
"91.1","1092.97","306.07","302.7","34.53","101.78","42.08","94.98","1200","64.74","97.90","97","62.51"
"86.59","1066.97","308.36","307.08","35.16","96.74","41.72","94.98","1155","64.64","97.80","97","62.41"
"84.53","1049.94","345.76","348.98","35.65","93.84","41.96","94.98","1137","64.64","97.80","97","62.41"
"81.86","1041.98","349.21","353.35","35.69","91.55","41.94","94.98","1095","64.35","97.70","97","62.41"
"79.35","1032.91","349.89","351.09","35.73","86.67","41.86","94.98","1008","64.25","97.70","97","62.41"
"73.24","1024.95","349.99","348.98","35.65","84.69","41.96","94.98","1131","63.96","97.70","97","62.22"
"86.82","1017.99","349.99","351.09","35.60","95.83","42.09","94.98","1193","63.61","97.70","97","62.22"
"83.47","1032.91","349.99","346.68","35.70","93.23","42.02","94.98","1136","63.61","97.60","97","62.22"
"80.26","1032.91","349.99","351.09","35.69","88.43","42.33","94.98","1020","63.52","97.50","97","62.22"
"72.25","1024.95","349.99","344.57","35.60","81.64","41.97","94.98","948","63.22","97.40","97","62.22"
"64.09","1015.97","315.01","337.99","34.77","71.49","42.80","94.98","783","63.12","97.30","97","62.22"
"60.96","1007.92","315.01","318.06","34.85","65.69","42.67","94.98","735","62.83","97.10","96","62.22"
"58.59","998.95","315.01","315.88","34.86","70.50","42.47","94.98","832","62.53","97","96","62.22"
"62.26","998.95","315.01","311.48","34.83","70.57","42.47","94.98","799","62.44","96.90","96","62.41"
"60.35","998.95","315.01","315.88","34.83","68.89","42.09","94.98","863","62.34","96.90","96","62.22"
"79.27","1000.96","401.88","364.38","37.74","101.85","40.09","94.98","1356","62.34","96.90","96","62.41"
"98.27","1105.97","368.97","362.07","36.16","108.80","41.01","94.54","1270","62.53","96.80","96","62.41"
"104.98","1139.94","427.89","443.51","37.45","114.37","41.02","94.98","1279","62.53","96.70","96","62.41"
"112.54","1178.94","560.51","535.79","40.48","132.75","39.83","94.98","1433","62.83","96.60","96","62.41"
"138.63","1277","638.96","634.88","42.18","166.09","39.47","94.98","1616","62.83","96.60","96","62.51"
"171.36","1406.91","690.29","674.4","43.27","210.27","38.69","94.98","1844","62.83","96.50","96","62.51"
"211.64","1551.93","780.10","782.16","44.70","265.58","38.70","94.98","2107","63.12","96.40","96","62.51"
"176.78","1633.96","733.27","685.38","44.34","207.75","38.46","94.98","1536","63.22","96.30","96","62.66"
"178.53","1609.98","794.57","804.18","44.96","212.02","39.22","94.98","1624","63.12","96.40","96","62.66"
"193.26","1628.93","557.67","680.98","37.02","218.05","51.46","74.43","1661","63.22","96.40","96","62.86"
"158.46","1338.98","328.95","298.29","34.72","174.49","41.81","94.53","1578","62.83","96.50","96","62.66"
"101.4","1203.94","310.79","304.96","34.48","108.57","42.16","94.98","1108","62.53","96.70","96","62.66"
"85.37","1107.99","312.99","309.28","34.70","93.54","42.02","94.98","1016","62.53","96.80","97","62.51"
"78.74","1060.93","314.19","311.48","34.84","88.43","41.99","94.98","1002","62.34","96.90","97","62.51"
"80.8","1028.98","305.38","309.28","34.58","98.50","42.08","94.96","1261","62.34","97.10","97","62.41"
"86.06","1041.98","307.40","309.28","34.61","96.89","42.12","94.98","1169","62.34","97.20","97","62.41"
"83.77","1043.99","311.20","313.68","34.74","91.25","42.02","94.98","1070","62.34","97.30","97","62.22"
"78.28","1032.91","314.51","309.28","34.92","86.06","41.92","94.98","990","62.14","97.30","97","62.22"
"72.79","1024.95","315.01","313.68","34.90","79.58","42.25","94.98","843","62.04","97.20","97","62.22"
"63.1","1015.97","315.01","331.29","34.89","73.17","43.06","94.98","784","61.85","97.20","97","62.22"
"59.05","1007.92","315.01","318.06","34.79","67.67","42.75","94.98","817","61.75","97.10","96","62.22"
"60.96","998.95","315.01","311.48","34.83","70.04","42.86","94.98","785","61.65","97.10","96","62.22"
"59.97","998.95","315.01","313.68","34.87","66.76","42.37","94.98","770","61.46","97","96","62.22"
"55.47","994.92","315.01","315.88","34.91","64.16","42.37","94.98","728","61.46","96.90","96","62.22"
"54.93","994.92","315.01","315.88","35.63","62.18","43.65","94.98","711","61.36","96.90","96","62.22"
"55.16","989.97","315.01","318.06","34.55","62.64","42.27","94.98","722","61.21","96.90","96","62.22"
"63.94","981.92","404.86","368.7","37.72","91.94","39.78","94.98","1358","61.21","97","96","62.22"
"105.74","1109.91","374.89","384.09","36.02","111.70","41.33","94.33","1258","61.65","97","97","62.22"
"115.13","1150.93","581.29","575.46","41.19","150.53","38.95","94.98","1724","61.75","97","96","62.22"
"172.73","1378.99","697.38","714","43.41","196.46","39.56","94.98","1687","62.24","96.90","96","62.22"
"170.06","1477.96","525.31","485.29","39.34","199.28","40.52","92.17","1753","62.44","96.90","96","62.41"
"173.72","1449.94","502.61","489.69","38.91","196.23","40.23","90.27","1780","62.53","96.90","96","62.41"
"173.72","1425.95","501.69","507.26","38.62","202.18","41.26","91.86","1535","62.83","96.90","96","62.41"
"116.04","1342.91","444.61","414.88","38.13","128.56","39.04","94.98","1288","62.73","97","97","62.41"
"127.79","1336.96","619.20","641.49","41.34","144.27","39.83","94.98","1376","62.83","97","97","62.41"
"127.26","1363.97","430.09","441.3","34.99","146.18","49.08","87.63","1354","62.83","97.20","97","62.41"
"108.95","1203.94","310.38","271.87","34.54","123.45","42.07","94.16","1332","62.73","97.30","97","62.41"
"96.59","1126.94","304.96","296.09","34.49","106.28","42.08","94.98","1215","62.73","97.50","97","62.22"
"87.66","1086.93","332.58","329.09","35.30","96.36","41.85","94.98","1087","62.73","97.60","97","62.22"
"79.88","1058.91","346.68","342.28","35.70","86.75","41.88","94.98","969","62.73","97.70","97","62.12"
"70.73","1037.95","315.01","360.01","22.94","75.99","41.22","94.98","805","62.53","97.80","97","62.12"
"64.7","1022.93","315.01","333.5","34.91","69.43","42.74","94.98","797","62.53","97.90","97","62.12"
"61.26","1007.92","315.01","318.06","34.85","69.58","43.14","94.98","762","62.44","97.90","97","62.02"
"57.14","1002.97","315.01","318.06","34.90","61.95","42.51","94.98","722","62.34","97.90","97","62.02"
"55.16","998.95","315.01","311.48","35.04","62.33","42.75","94.98","723","62.14","97.90","97","62.12"
"54.47","994.92","315.01","311.48","34.89","62.33","42.61","94.98","723","62.14","97.90","97","62.12"
"54.47","994.92","315.01","313.68","34.94","62.18","42.78","94.98","714","62.14","97.90","97","62.12"
"51.58","994.92","315.01","313.68","34.93","59.66","42.45","94.98","713","62.04","97.90","97","62.12"
"52.8","998.95","315.01","318.06","34.87","60.96","42.58","94.98","721","62.04","97.90","97","62.12"
"54.09","998.95","315.01","318.06","34.92","61.26","42.50","94.98","720","62.04","97.90","98","62.12"
"53.86","998.95","315.01","315.88","34.97","61.04","42.57","94.98","724","62.04","98","97","62.12"
"53.79","1000.96","315.01","313.68","34.92","61.65","42.51","94.98","725","62.04","98","97","62.12"
"53.64","1000.96","315.01","313.68","34.87","61.34","42.74","94.98","717","61.85","98","98","62.12"
"53.25","1000.96","315.01","311.48","34.87","61.26","42.54","94.98","724","61.85","98.10","98","62.12"
"53.25","998.95","332.30","315.88","35.72","58.98","40.67","94.98","965","61.85","98.10","98","62.12"
"82.93","1041.98","315.01","298.29","34.87","80.19","41.90","94.98","787","62.04","98.10","98","62.12"
"56.46","1028.98","315.01","322.46","34.78","63.78","42.57","94.98","725","62.04","98.10","98","62.12"
"54.55","1011.95","315.01","315.88","34.90","62.03","42.66","94.98","717","62.04","98.10","98","62.12"
"53.94","1007.92","315.01","313.68","34.96","61.26","42.46","94.98","721","61.85","98.10","98","62.12"
"53.79","1002.97","315.01","311.48","34.91","61.34","42.63","94.98","719","61.75","98.10","98","62.12"
"54.25","1000.96","315.01","315.88","34.95","61.57","42.40","94.98","717","61.75","98","98","62.12"
"53.33","1000.96","315.01","313.68","34.85","61.04","42.65","94.98","717","61.75","98","97","62.12"
"53.64","1000.96","315.01","315.88","34.86","61.19","42.44","94.98","721","61.65","98","97","62.12"
"54.47","998.95","315.01","318.06","34.86","62.03","42.65","94.98","721","61.65","97.90","97","62.12"
"54.4","1000.96","315.01","318.06","34.86","61.49","42.61","94.98","721","61.46","97.90","97","62.22"
"54.17","998.95","315.01","313.68","34.95","61.04","42.32","94.98","724","61.46","97.90","97","62.22"
"55.47","998.95","315.01","318.06","34.91","62.26","42.44","94.98","733","61.46","97.90","97","62.22"
"54.4","1000.96","315.01","315.88","34.92","61.95","42.63","94.98","721","61.46","97.80","97","62.22"
"53.64","998.95","315.01","313.68","34.86","64.24","42.31","94.98","791","61.36","97.80","97","62.12"
"90.49","1009.93","491.39","478.8","39.24","118.03","40.21","94.98","1534","61.46","97.70","97","62.22"
"134.13","1193.96","509.78","520.4","39.47","157.78","40.28","94.98","1711","61.75","97.70","97","62.22"
"158.77","1304.92","537.81","524.8","39.98","188.52","39.84","75.95","1981","62.04","97.60","97","62.22"
"191.2","1408.92","549.89","562.3","40.01","223.70","40.01","66.23","2114","62.34","97.50","97","62.22"
"149.16","1440.97","671.96","647.98","42.64","166.93","39.79","94.98","1443","62.53","97.40","97","62.41"
"162.43","1473.93","689.79","698.57","42.84","191.88","39.48","94.98","1672","62.53","97.30","97","62.41"
"195.77","1556.97","752.25","731.66","44.38","239.87","38.46","94.98","1932","62.73","97.30","97","62.41"
"235.14","1652.92","832.77","841.58","46.11","294.65","38.24","94.98","2188","63.03","97.30","97","62.41"
