"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"53.03","964.98","312.40","309.28","33.94","59.89","41.68","23.00","722","58.51","96.40","96","54.03"
"51.65","962.96","312.17","315.88","33.77","59.74","41.87","23.00","720","58.51","96.50","96","54.03"
"50.97","960.95","312.17","311.48","33.96","58.90","42.05","23.00","718","58.41","96.50","96","54.03"
"50.28","960.95","313.41","315.88","33.85","59.13","41.79","23.00","720","58.41","96.50","96","54.03"
"51.04","960.95","313.18","313.68","33.86","59.36","41.93","23.00","721","58.41","96.50","96","54.13"
"50.35","960.95","312.99","309.28","33.86","58.90","41.89","23.00","725","58.41","96.60","96","54.03"
"51.04","955.92","312.08","313.68","33.87","58.98","41.91","23.00","719","58.41","96.60","96","54.03"
"52.49","955.92","308.77","309.28","33.64","64.47","42.30","23.00","774","58.41","96.70","96","54.03"
"53.03","955.92","299.99","300.59","33.51","60.35","42.41","23.00","715","58.41","96.70","96","54.03"
"52.57","955.92","299.99","300.59","33.52","60.43","42.21","23.00","721","58.41","96.70","96","54.03"
"52.64","955.92","299.99","300.59","33.48","60.20","42.12","23.00","721","58.41","96.70","96","54.03"
"52.03","955.92","299.99","302.7","33.43","60.27","42.33","23.00","719","58.41","96.70","96","54.03"
"51.88","955.92","299.99","300.59","33.47","60.20","42.31","23.00","720","58.41","96.80","96","54.03"
"52.34","955.92","299.99","300.59","33.47","60.27","42.15","23.00","719","58.41","96.80","96","54.03"
"52.34","955.92","300.08","302.7","33.48","60.27","42.09","23.00","721","58.41","96.80","96","54.03"
"52.87","955.92","299.99","298.29","33.63","60.27","42.03","23.00","725","58.41","96.90","96","54.03"
"52.95","955.92","299.99","302.7","33.59","60.27","42.34","23.00","721","58.41","96.90","96","54.03"
"51.88","955.92","299.99","302.7","33.63","60.35","41.98","23.00","718","58.41","96.90","96","54.03"
"52.64","955.92","299.99","298.29","33.58","60.27","42.03","23.00","720","58.41","96.90","96","54.03"
"52.87","955.92","299.99","300.59","33.58","60.27","42.19","23.00","720","58.41","96.90","96","54.03"
"52.03","955.92","299.99","300.59","33.48","60.35","42.09","23.00","720","58.41","96.90","96","54.03"
"52.49","955.92","299.99","298.29","33.53","60.35","42.15","23.00","719","58.51","96.90","96","54.03"
"52.64","955.92","299.99","300.59","33.59","60.27","42.09","23.00","721","58.51","96.90","96","54.03"
"52.64","955.92","299.99","298.29","33.47","60.27","42.16","23.00","720","58.51","96.90","96","54.03"
"52.19","955.92","299.99","298.29","33.58","60.20","42.08","23.00","719","58.51","96.90","96","54.03"
"51.58","955.92","299.99","300.59","33.53","60.27","42.07","23.00","721","58.51","96.90","96","54.03"
"52.34","955.92","299.99","300.59","33.53","60.27","42.26","23.00","719","58.51","96.90","96","54.03"
